Time_s,rpm,speed_kph,throttle_pos,engine_load,coolant_temp_C,coolant_pressure_PSI,intake_air_temp_C
42,2034.3,33.58,11.49,21.82,72.16,13.29,29.15
43,2054.19,34.09,11.76,20.1,72.17,13.24,28.95
44,2095.32,34.48,11.26,20.58,72.18,13.16,28.86
45,2123.01,34.82,12.96,21.45,72.18,13.23,28.92
46,2099.45,34.66,13.14,20.02,72.15,13.2,28.84
47,2075.03,34.7,13.59,20.01,72.12,13.27,28.89
48,2059.78,34.72,14.01,20.22,72.13,13.29,28.99
49,2056.03,34.68,13.27,20.32,72.15,13.3,28.96
50,2064.9,34.69,13.44,20.21,72.16,13.2,28.89
51,2078.41,34.65,13.34,19.4,72.17,13.28,28.88
52,2098.28,34.75,12.6,19.02,72.15,13.22,28.75
53,2116.53,34.86,11.41,18.39,72.14,13.25,28.74
54,2132.37,34.91,11.31,18.17,72.11,13.25,28.74
55,2171.79,35.19,11.79,19.81,72.11,13.24,28.7
56,2151.12,35.44,11.75,19.13,72.15,13.21,28.84
57,2172.8,35.36,11.43,18.11,72.16,13.31,28.84
58,2192.75,35.57,11.41,19.07,72.15,13.29,28.93
59,2178.65,35.65,11.09,17.71,72.16,13.29,28.88
60,2204.43,35.95,12.38,20.37,72.16,13.3,28.84
61,2224.51,36.09,12.44,19.96,72.14,13.41,28.93
62,2233.32,36.06,11.82,17.93,72.15,13.43,29.03
63,2192.42,35.96,10.21,16.16,72.15,13.36,29.02
64,2224.88,36.04,10.08,16.01,72.15,13.35,29.09
65,2238.52,36.08,9.65,15.82,72.19,13.44,29.15
66,2253.51,36.03,9.2,16.43,72.19,13.48,29.09
67,2190.34,35.94,10.05,17.58,72.23,13.49,29.13
68,2193.22,36.04,10.17,18.8,72.22,13.38,29.31
69,2176.92,35.98,8.82,18.94,72.2,13.47,29.34
70,2216.17,35.76,9.44,19.32,72.19,13.51,29.34
71,2203.08,35.94,8.33,20.6,72.22,13.49,29.34
72,2243.59,35.94,9.06,19.37,72.21,13.48,29.18
73,2269.24,36.11,8.88,19.14,72.19,13.49,29.23
74,2277.89,36.26,9.15,18.89,72.2,13.51,29.14
75,2303.82,36.27,9.24,18.11,72.2,13.37,29.11
76,2286.42,36.55,9.36,21.51,72.22,13.46,29.27
77,2276.14,36.75,9.71,21.01,72.22,13.5,29.25
78,2300.95,36.74,9.83,19.06,72.21,13.41,29.2
79,2285.77,36.75,11.37,20.24,72.24,13.41,29.28
80,2265.94,36.93,11.53,20.56,72.23,13.36,29.21
81,2269.72,37.08,11.68,20.54,72.23,13.36,29.14
82,2261.41,37.05,10.98,19.85,72.24,13.33,29.23
83,2308.64,36.96,11.21,19.34,72.2,13.36,29.22
84,2327.73,36.97,10.31,20.19,72.22,13.32,29.04
85,2316.89,36.85,11.22,21.1,72.26,13.37,29.1
86,2297.14,36.6,9.94,20.56,72.28,13.41,29.04
87,2305.15,36.36,9.28,21.42,72.27,13.31,29.17
88,2327.95,36.23,8.07,20.5,72.26,13.43,29.13
89,2328.21,35.92,8.61,21.02,72.27,13.43,29.23
90,2303.35,35.88,8.42,20.78,72.28,13.43,29.4
91,2271.56,35.77,9.13,20.18,72.32,13.38,29.31
92,2264.93,35.78,8.45,19.29,72.35,13.45,29.27
93,2272.89,35.73,9.04,20.83,72.36,13.46,29.29
94,2263.85,35.66,9.61,21.52,72.35,13.33,29.15
95,2284.32,35.44,9.82,22.04,72.35,13.39,29.12
96,2291.77,35.31,9.86,21.3,72.37,13.33,29.05
97,2292.13,35.25,9.98,21.6,72.39,13.37,28.99
98,2297.35,35.2,9.25,20.8,72.4,13.37,29.0
99,2263.16,35.1,8.47,21.34,72.41,13.37,28.97
100,2250.69,34.98,9.05,22.08,72.46,13.33,28.97
101,2227.94,34.81,8.84,22.2,72.48,13.27,28.96
102,2236.07,34.69,9.31,22.63,72.45,13.4,28.89
103,2213.85,34.43,10.6,22.55,72.45,13.33,28.91
104,2215.49,34.25,10.16,22.37,72.47,13.4,28.87
105,2212.86,34.43,9.74,24.02,72.47,13.32,28.82
106,2225.73,34.42,9.49,22.88,72.5,13.38,28.82
107,2200.57,34.34,9.55,21.76,72.5,13.42,28.65
108,2212.17,34.4,10.1,22.98,72.49,13.33,28.62
109,2190.81,34.23,10.05,21.61,72.49,13.33,28.55
110,2174.79,34.23,11.69,21.82,72.51,13.31,28.5
111,2176.94,34.16,11.84,21.24,72.49,13.24,28.65
112,2207.13,34.4,12.39,20.9,72.49,13.37,28.64
113,2193.84,34.61,12.21,20.63,72.51,13.35,28.61
114,2164.32,34.71,12.84,21.57,72.49,13.34,28.57
115,2155.76,34.81,12.43,21.45,72.48,13.27,28.56
116,2160.68,35.04,11.79,24.0,72.46,13.24,28.47
117,2211.08,35.19,12.4,23.5,72.45,13.22,28.46
118,2226.29,35.37,12.21,23.56,72.45,13.27,28.45
119,2218.76,35.71,12.36,24.24,72.46,13.38,28.43
120,2226.22,35.98,13.06,23.89,72.45,13.32,28.18
121,2267.1,36.01,12.89,22.6,72.45,13.38,28.11
122,2266.38,36.02,12.5,23.16,72.48,13.4,28.26
123,2268.25,36.43,12.05,24.5,72.49,13.34,28.4
124,2268.08,36.69,12.84,23.68,72.54,13.4,28.55
125,2290.37,36.78,12.36,22.82,72.54,13.38,28.69
126,2284.46,36.65,12.1,22.82,72.54,13.37,28.81
127,2308.28,36.81,12.23,22.09,72.55,13.46,28.73
128,2335.02,37.18,12.45,22.36,72.55,13.43,28.62
129,2350.37,37.33,13.13,21.34,72.55,13.31,28.7
130,2337.06,35.65,12.76,20.82,72.53,13.31,28.69
131,2297.59,34.86,13.58,20.39,72.53,13.51,28.86
132,2281.02,33.91,13.0,20.39,72.55,13.39,28.85
133,2253.26,33.15,12.96,21.5,72.59,13.3,29.01
134,2219.28,31.87,12.46,20.82,72.62,13.18,28.94
135,2193.37,30.59,13.81,20.72,72.63,13.24,29.01
136,2177.53,29.31,13.04,20.4,72.65,13.19,29.16
137,2134.85,28.17,12.41,19.79,72.66,13.21,29.09
138,2071.09,26.21,12.11,19.2,72.66,13.16,29.11
139,2019.69,25.51,11.52,18.35,72.65,13.14,29.11
140,2098.34,24.14,11.43,18.18,72.66,13.25,29.01
141,2132.38,22.85,12.06,17.57,72.66,13.26,29.03
142,2135.76,23.28,11.98,20.55,72.68,13.27,28.94
143,2192.36,24.23,12.22,23.25,72.65,13.37,28.95
144,2139.65,25.48,12.27,24.34,72.66,13.22,28.97
145,2149.42,26.4,11.95,21.45,72.69,13.25,28.79
146,2122.3,27.2,12.09,20.55,72.7,13.25,28.88
147,2108.85,27.89,12.11,20.05,72.69,13.25,28.84
148,2109.48,29.01,13.29,22.45,72.68,13.32,28.92
149,2129.88,30.22,12.71,22.85,72.69,13.21,28.98
150,2115.23,31.2,14.02,22.27,72.71,13.12,29.09
151,2145.22,32.22,13.96,21.72,72.73,13.18,29.03
152,2135.12,32.95,14.01,19.61,72.73,13.17,28.79
153,2134.64,33.52,13.01,19.89,72.75,13.12,28.77
154,2144.45,33.98,13.37,19.06,72.76,13.2,28.79
155,2173.28,34.38,12.45,19.13,72.78,13.3,28.76
156,2175.85,34.8,12.7,19.08,72.8,13.26,28.78
157,2219.15,35.04,12.77,18.56,72.8,13.32,28.78
158,2251.27,35.22,12.32,17.68,72.79,13.33,28.65
159,2255.13,35.59,10.63,16.91,72.81,13.45,28.68
160,2240.85,35.92,12.47,17.27,72.8,13.34,28.6
161,2268.07,36.02,11.44,16.19,72.77,13.33,28.54
162,2230.3,36.1,11.57,16.58,72.8,13.31,28.58
163,2253.93,36.09,10.84,16.2,72.81,13.31,28.67
164,2243.05,36.03,11.61,15.98,72.82,13.26,28.7
165,2274.81,35.99,11.15,16.77,72.82,13.26,28.68
166,2249.5,36.01,10.46,16.06,72.84,13.29,28.67
167,2241.05,35.83,10.9,15.7,72.82,13.26,28.73
168,2255.58,35.86,9.82,14.99,72.82,13.2,28.84
169,2271.12,35.81,9.51,14.61,72.83,13.24,28.9
170,2260.97,35.93,10.19,15.54,72.85,13.4,28.93
171,2258.12,35.89,11.38,15.67,72.82,13.35,29.0
172,2280.55,35.8,10.48,14.59,72.83,13.41,28.86
173,2300.23,35.67,9.95,14.35,72.83,13.37,28.74
174,2290.54,35.72,10.27,14.35,72.82,13.41,28.68
175,2277.11,35.81,8.7,14.57,72.8,13.39,28.63
176,2251.69,36.0,10.02,16.01,72.84,13.49,28.59
177,2263.33,36.26,9.37,15.64,72.84,13.5,28.45
178,2284.54,36.25,9.1,14.7,72.85,13.49,28.34
179,2291.02,36.45,9.51,16.22,72.83,13.45,28.34
180,2274.8,36.39,9.62,15.77,72.81,13.39,28.4
181,2316.33,36.66,9.04,17.03,72.83,13.44,28.35
182,2274.83,36.61,10.54,16.37,72.81,13.41,28.36
183,2297.88,36.63,8.46,16.55,72.84,13.42,28.38
184,2304.26,36.59,7.74,16.29,72.87,13.49,28.5
185,2314.2,36.49,7.47,17.81,72.87,13.47,28.55
186,2296.76,36.35,6.98,17.83,72.86,13.47,28.63
187,2294.62,36.35,8.28,19.53,72.82,13.45,28.61
188,2301.54,36.38,7.16,21.01,72.8,13.4,28.46
189,2299.96,36.3,8.71,19.87,72.82,13.33,28.52
190,2263.28,36.11,8.63,20.33,72.85,13.38,28.49
191,2301.59,36.17,7.72,20.67,72.84,13.38,28.49
192,2313.09,36.14,6.28,19.75,72.83,13.41,28.42
193,2310.95,36.15,6.5,19.2,72.81,13.38,28.52
194,2310.57,36.2,6.33,18.46,72.8,13.5,28.39
195,2341.8,36.15,6.9,17.66,72.83,13.53,28.38
196,2320.86,36.22,6.9,19.58,72.84,13.48,28.46
197,2298.27,36.19,7.99,19.64,72.81,13.46,28.54
198,2314.55,36.11,8.09,18.56,72.83,13.47,28.49
199,2313.45,34.83,7.94,17.49,72.88,13.41,28.5
200,2272.37,32.96,8.88,15.95,72.87,13.45,28.54
201,2273.12,32.01,9.12,16.89,72.87,13.42,28.74
202,2253.25,31.19,9.76,17.0,72.88,13.42,28.62
203,2201.9,29.4,10.6,17.28,72.91,13.48,28.58
204,2176.09,27.9,10.18,16.83,72.93,13.31,28.76
205,2143.33,26.66,10.05,17.17,72.93,13.42,28.74
206,2098.46,25.3,10.55,16.66,72.92,13.35,28.56
207,2145.18,24.72,8.35,16.15,72.9,13.3,28.48
208,2185.07,24.11,8.24,16.37,72.88,13.34,28.23
209,2220.31,23.54,8.04,15.47,72.89,13.34,28.26
210,2222.28,22.15,8.31,14.91,72.89,13.36,28.38
211,2207.9,21.24,7.6,14.29,72.89,13.39,28.27
212,2189.69,19.46,8.45,14.64,72.9,13.35,28.25
213,2183.09,18.41,7.73,15.27,72.9,13.43,28.33
214,2159.15,17.66,7.29,14.96,72.91,13.43,28.19
215,2107.87,16.43,6.71,14.27,72.92,13.29,28.13
216,2054.08,14.55,7.67,14.39,72.94,13.36,28.15
217,2027.84,13.33,5.86,13.3,72.95,13.36,28.16
218,1999.61,14.68,8.03,22.19,72.95,13.35,28.15
219,1976.4,16.09,9.78,24.28,72.96,13.26,28.05
220,1979.61,16.5,9.24,17.92,72.96,13.29,28.08
221,1954.5,17.11,10.13,19.44,72.98,13.27,28.11
222,1957.04,17.87,10.3,19.93,72.98,13.22,28.18
223,1998.22,18.71,11.73,22.09,72.99,13.27,28.19
224,2021.1,19.94,12.68,24.25,73.0,13.31,28.23
225,2067.34,20.66,14.27,21.93,73.01,13.24,28.13
226,2083.27,21.78,12.93,24.66,73.03,13.31,28.29
227,2096.95,22.62,12.99,22.43,73.03,13.3,28.35
228,2149.18,23.5,11.55,23.02,73.07,13.36,28.33
229,2145.88,24.71,11.41,23.5,73.08,13.37,28.43
230,2110.66,25.94,13.53,23.57,73.09,13.37,28.33
231,2102.27,26.82,13.84,21.63,73.13,13.31,28.45
232,2090.33,27.6,14.5,23.14,73.12,13.42,28.6
233,2033.68,28.78,14.94,25.64,73.17,13.31,28.71
234,2004.3,29.59,15.12,23.49,73.14,13.32,28.62
235,2008.78,30.54,14.58,25.04,73.14,13.33,28.42
236,2031.27,31.73,14.09,25.57,73.12,13.29,28.45
237,2057.84,32.81,13.74,22.73,73.1,13.27,28.47
238,2073.18,33.37,11.43,20.27,73.12,13.25,28.38
239,2104.16,33.87,11.44,20.5,73.13,13.23,28.48
240,2127.74,34.28,11.68,19.91,73.13,13.32,28.39
241,2140.27,34.87,11.31,20.96,73.16,13.39,28.36
242,2165.66,35.07,11.17,19.52,73.19,13.28,28.36
243,2163.88,35.03,11.47,18.24,73.19,13.27,28.23
244,2190.0,35.33,12.18,20.55,73.17,13.32,28.31
245,2184.57,35.64,11.17,21.64,73.19,13.3,28.37
246,2206.85,35.73,10.46,19.09,73.19,13.41,28.37
247,2227.25,35.96,11.14,20.59,73.2,13.49,28.55
248,2231.06,36.16,11.61,19.65,73.22,13.42,28.76
249,2253.56,36.2,12.56,20.29,73.22,13.49,28.72
250,2292.77,36.4,13.47,21.96,73.25,13.48,28.51
251,2276.98,36.55,15.15,21.55,73.25,13.43,28.44
252,2302.76,36.59,14.45,19.59,73.27,13.51,28.58
253,2327.97,36.58,15.29,19.53,73.29,13.51,28.42
254,2323.05,36.47,14.04,19.19,73.31,13.46,28.4
255,2338.31,36.29,15.57,20.69,73.35,13.48,28.47
256,2329.11,36.06,15.39,19.71,73.34,13.52,28.63
257,2350.67,35.96,15.3,19.17,73.33,13.51,28.58
258,2287.64,35.62,15.56,18.65,73.33,13.4,28.53
259,2316.66,35.73,13.99,18.35,73.39,13.44,28.49
260,2290.84,35.8,12.77,17.29,73.41,13.45,28.52
261,2290.46,35.48,12.59,16.19,73.41,13.47,28.51
262,2272.24,35.51,12.63,16.79,73.41,13.47,28.62
263,2303.33,35.56,14.06,17.41,73.41,13.51,28.54
264,2294.75,35.43,12.9,16.75,73.42,13.49,28.58
265,2280.21,35.24,13.84,17.39,73.44,13.42,28.66
266,2300.0,35.13,13.24,16.34,73.45,13.51,28.64
267,2308.77,35.04,12.69,16.78,73.48,13.51,28.73
268,2295.3,35.1,12.31,17.19,73.52,13.44,28.75
269,2271.18,35.25,11.91,17.78,73.52,13.53,28.82
270,2246.57,35.08,12.11,16.84,73.53,13.43,28.82
271,2272.3,34.95,11.57,16.64,73.52,13.52,28.87
272,2276.82,34.89,10.28,16.3,73.52,13.4,28.81
273,2275.6,34.86,10.03,16.36,73.53,13.47,28.83
274,2282.17,35.05,10.48,16.94,73.55,13.38,29.0
275,2239.22,35.13,9.35,16.97,73.59,13.39,29.07
276,2235.1,35.24,9.93,16.84,73.58,13.44,28.95
277,2231.28,35.06,10.88,16.68,73.59,13.41,28.93
278,2255.31,35.3,12.1,19.64,73.58,13.4,28.78
279,2228.6,35.53,12.28,19.31,73.59,13.37,28.74
280,2255.96,35.63,10.66,18.26,73.65,13.43,28.85
281,2295.43,35.75,11.18,17.15,73.65,13.41,28.79
282,2260.13,35.83,11.88,15.64,73.7,13.37,28.84
283,2264.53,35.93,11.2,15.79,73.69,13.41,28.6
284,2278.52,36.02,11.08,16.09,73.68,13.41,28.54
285,2298.1,36.0,11.37,16.72,73.68,13.46,28.57
286,2254.09,35.88,12.67,17.71,73.69,13.36,28.63
287,2266.5,36.01,12.28,17.3,73.69,13.38,28.73
288,2268.07,36.31,12.93,19.63,73.71,13.4,28.71
289,2267.21,36.15,12.9,17.02,73.67,13.41,28.7
290,2314.05,36.24,12.84,18.55,73.65,13.48,28.59
291,2310.68,36.47,13.75,19.4,73.69,13.53,28.59
292,2321.42,36.58,12.79,20.5,73.68,13.55,28.55
293,2319.89,36.67,12.76,19.87,73.68,13.53,28.32
294,2326.21,36.75,12.57,19.71,73.69,13.61,28.24
295,2336.74,36.61,11.13,18.8,73.7,13.56,28.39
296,2353.69,36.74,12.09,19.77,73.69,13.54,28.4
297,2335.81,36.84,12.62,19.06,73.7,13.41,28.42
298,2337.22,36.58,12.41,19.99,73.72,13.5,28.34
299,2338.49,36.48,11.98,19.3,73.72,13.46,28.21
300,2302.62,36.45,11.8,18.55,73.73,13.44,28.38
301,2284.85,36.35,12.21,18.53,73.75,13.41,28.16
302,2305.15,36.17,12.04,18.68,73.78,13.47,28.16
303,2294.68,36.02,11.32,17.83,73.79,13.43,28.17
304,2346.84,36.01,10.78,18.59,73.83,13.35,28.21
305,2359.66,36.08,10.74,19.16,73.83,13.47,28.14
306,2359.9,36.0,9.94,18.4,73.82,13.45,28.0
307,2382.01,36.11,10.28,19.68,73.82,13.41,28.0
308,2385.66,36.0,9.63,18.1,73.85,13.46,27.99
309,2375.49,35.77,8.91,17.32,73.84,13.46,28.01
310,2335.3,35.74,11.58,18.16,73.81,13.46,28.17
311,2341.88,35.67,12.98,19.42,73.82,13.54,28.11
312,2362.28,35.68,12.81,19.35,73.82,13.45,28.23
313,2340.19,35.66,13.22,19.05,73.86,13.43,28.28
314,2296.4,35.65,13.72,17.5,73.87,13.45,28.42
315,2273.41,35.66,13.3,16.93,73.9,13.45,28.42
316,2310.62,35.77,13.26,16.61,73.9,13.45,28.52
317,2309.88,35.88,12.79,15.55,73.91,13.49,28.5
318,2337.25,35.91,13.54,16.12,73.92,13.49,28.59
319,2332.98,36.0,14.26,19.38,73.95,13.54,28.44
320,2319.09,35.98,15.09,19.28,73.96,13.47,28.26
321,2359.83,36.03,14.83,19.94,73.96,13.48,28.32
322,2346.46,36.19,16.18,20.52,73.99,13.47,28.42
323,2338.58,36.44,15.64,20.13,73.98,13.42,28.51
324,2346.05,36.41,16.74,20.7,73.97,13.53,28.55
325,2338.05,36.54,15.78,20.51,73.98,13.62,28.73
326,2352.24,36.58,14.21,18.0,73.98,13.62,28.65
327,2357.99,36.53,15.43,18.54,73.98,13.57,28.71
328,2364.17,36.6,15.47,18.77,73.98,13.68,28.73
329,2347.85,36.66,15.39,19.23,74.0,13.55,28.88
330,2312.44,36.65,14.59,19.63,74.03,13.54,28.91
331,2299.36,36.89,13.6,20.92,74.05,13.58,28.89
332,2291.12,37.16,12.81,20.96,74.07,13.63,28.75
333,2305.31,37.27,12.73,20.5,74.04,13.67,28.86
334,2294.99,37.2,12.37,21.56,74.05,13.56,28.91
335,2273.43,37.36,10.69,23.24,74.08,13.61,28.92
336,2260.4,37.18,12.01,22.21,74.11,13.62,29.17
337,2275.64,36.51,11.49,22.45,74.11,13.73,29.21
338,2289.53,35.55,12.34,23.76,74.15,13.7,29.14
339,2266.67,33.69,11.51,23.3,74.16,13.58,29.14
340,2240.35,32.24,11.43,22.58,74.12,13.62,28.99
341,2230.29,30.94,11.99,21.91,74.13,13.54,28.97
342,2204.93,29.61,12.37,21.58,74.12,13.6,28.94
343,2196.31,28.45,11.8,20.09,74.12,13.56,28.92
344,2156.5,27.52,11.89,20.31,74.14,13.49,28.86
345,2104.75,26.88,12.1,20.88,74.15,13.54,28.94
346,2093.34,26.09,11.62,19.99,74.15,13.52,28.95
347,2128.05,24.79,10.39,18.97,74.15,13.57,28.96
348,2136.03,23.42,9.65,17.6,74.16,13.59,28.98
349,2167.28,22.41,9.16,17.66,74.16,13.6,29.07
350,2193.97,21.14,9.02,17.44,74.18,13.67,29.11
351,2184.84,20.33,10.14,16.54,74.17,13.7,29.21
352,2140.13,18.89,10.57,18.45,74.17,13.66,29.2
353,2139.74,17.57,9.56,16.42,74.16,13.54,29.28
354,2110.09,16.86,10.76,15.51,74.15,13.47,29.39
355,2074.35,16.12,10.3,15.77,74.2,13.52,29.4
356,2025.0,15.48,10.47,15.97,74.19,13.55,29.39
357,2009.19,15.13,9.33,14.81,74.19,13.57,29.53
358,1946.79,14.72,8.68,13.62,74.18,13.57,29.45
359,1887.31,14.34,9.29,13.88,74.18,13.5,29.47
360,1893.83,13.97,8.29,13.74,74.18,13.44,29.5
361,1841.89,13.7,8.14,12.86,74.2,13.37,29.45
362,1832.39,13.61,8.34,13.6,74.2,13.36,29.41
363,1829.9,13.36,7.31,13.54,74.21,13.35,29.34
364,1801.85,13.13,5.78,13.71,74.18,13.4,29.3
365,1754.34,12.96,6.55,13.59,74.17,13.41,29.22
366,1742.59,12.82,8.8,14.84,74.19,13.42,29.14
367,1747.57,12.82,8.91,14.57,74.18,13.23,29.14
368,1732.04,12.93,9.21,15.57,74.2,13.37,29.26
369,1694.56,12.72,8.2,14.41,74.19,13.25,29.34
370,1681.33,12.51,9.17,15.15,74.19,13.28,29.12
371,1636.62,12.59,8.61,15.44,74.22,13.18,29.23
372,1605.71,12.55,9.29,13.44,74.24,13.24,29.21
373,1594.09,12.65,9.51,13.53,74.21,13.16,29.29
374,1597.94,13.46,10.1,18.11,74.27,13.16,29.31
375,1584.13,14.33,10.65,19.01,74.26,13.23,29.38
376,1609.19,15.2,11.12,19.87,74.3,13.15,29.36
377,1642.77,15.89,11.26,19.38,74.3,13.22,29.29
378,1665.13,16.73,12.01,20.09,74.29,13.17,29.47
379,1648.55,17.07,11.09,17.28,74.28,13.1,29.45
380,1682.79,17.46,10.68,16.86,74.28,13.07,29.55
381,1756.69,18.51,12.02,22.62,74.28,13.21,29.67
382,1805.83,19.82,12.35,25.49,74.29,13.23,29.67
383,1845.41,20.45,11.92,21.34,74.3,13.27,29.46
384,1877.31,21.01,12.59,20.64,74.34,13.07,29.5
385,1936.46,22.34,13.45,25.41,74.35,13.13,29.43
386,1992.48,23.68,12.54,24.57,74.36,13.14,29.5
387,2063.39,25.0,13.35,24.47,74.36,13.22,29.44
388,2010.88,25.53,13.23,19.47,74.36,13.17,29.34
389,1993.43,26.18,13.64,19.86,74.36,13.13,29.46
390,1972.12,27.12,13.62,20.53,74.34,13.12,29.3
391,1977.31,28.31,14.1,22.08,74.39,13.02,29.4
392,1941.94,29.48,12.71,21.64,74.4,13.01,29.39
393,1945.08,30.01,11.9,17.42,74.41,13.04,29.36
394,1972.9,31.06,12.76,20.59,74.44,13.13,29.38
395,2006.7,32.04,15.01,19.68,74.4,13.08,29.27
396,2024.28,32.52,15.0,18.01,74.45,13.13,29.3
397,1999.33,32.97,14.13,17.53,74.44,13.16,29.22
398,2036.18,33.41,14.01,18.07,74.43,13.19,29.2
399,2089.74,33.9,13.12,18.67,74.42,13.27,29.26
400,2090.3,34.27,13.98,18.82,74.45,13.24,29.28
401,2099.15,34.31,13.62,16.98,74.49,13.21,29.16
402,2134.01,34.71,14.29,19.77,74.52,13.33,29.27
403,2164.99,34.75,13.75,18.24,74.52,13.34,29.26
404,2198.08,34.87,14.34,19.81,74.49,13.42,29.23
405,2225.64,35.02,12.68,20.53,74.49,13.48,29.29
406,2198.27,34.97,12.43,18.68,74.49,13.43,29.27
407,2194.47,34.78,12.61,18.86,74.46,13.37,29.21
408,2212.54,34.68,12.12,17.51,74.48,13.43,29.3
409,2213.98,34.67,12.19,17.23,74.48,13.41,29.25
410,2224.62,34.72,12.26,17.55,74.5,13.44,29.19
411,2224.47,34.78,12.89,18.42,74.52,13.41,29.08
412,2217.77,34.69,13.09,18.05,74.53,13.41,29.16
413,2215.93,34.71,13.09,18.66,74.54,13.44,29.14
414,2196.43,34.64,13.48,18.35,74.57,13.48,29.0
415,2186.82,34.61,12.03,17.34,74.57,13.5,28.95
416,2191.42,34.62,11.22,16.57,74.56,13.54,29.11
417,2196.18,34.74,10.05,17.41,74.56,13.5,29.23
418,2213.23,34.82,10.51,17.15,74.58,13.4,29.21
419,2210.21,34.67,10.78,15.03,74.59,13.42,29.37
420,2248.39,34.89,11.91,17.6,74.59,13.4,29.44
421,2274.05,35.11,12.11,17.29,74.59,13.4,29.38
422,2261.76,35.15,11.41,16.17,74.62,13.47,29.34
423,2265.43,35.21,11.41,15.66,74.6,13.41,29.32
424,2288.59,35.23,9.78,15.11,74.65,13.43,29.21
425,2272.21,35.34,9.52,13.52,74.65,13.43,29.2
426,2254.34,35.17,7.69,12.38,74.65,13.47,29.25
427,2279.22,35.06,8.18,12.32,74.66,13.44,29.17
428,2289.55,35.21,8.21,12.63,74.67,13.4,29.11
429,2306.76,35.3,8.33,13.39,74.66,13.5,29.1
430,2306.91,35.38,7.8,13.35,74.67,13.48,29.15
431,2295.73,35.41,7.5,12.98,74.65,13.42,29.01
432,2263.17,35.19,8.3,12.67,74.64,13.39,28.98
433,2264.75,35.29,7.37,13.89,74.62,13.42,28.88
434,2288.31,35.31,8.05,13.66,74.62,13.48,29.01
435,2307.83,35.12,7.59,14.78,74.62,13.51,28.99
436,2321.3,35.16,6.51,15.73,74.59,13.52,29.13
437,2328.0,35.21,7.86,17.42,74.58,13.49,29.15
438,2362.88,35.24,9.15,18.69,74.59,13.57,29.09
439,2317.97,35.26,8.81,17.76,74.61,13.49,29.12
440,2314.33,35.24,8.49,17.53,74.59,13.43,29.09
441,2288.49,35.35,8.5,17.94,74.59,13.42,29.17
442,2317.15,35.61,8.13,19.38,74.58,13.51,29.07
443,2300.17,35.65,7.84,17.89,74.6,13.38,29.05
444,2317.68,35.8,8.5,18.64,74.59,13.41,29.08
445,2304.52,35.84,10.34,19.81,74.6,13.47,29.14
446,2310.93,35.93,10.08,19.71,74.6,13.46,28.98
447,2305.72,35.86,10.9,18.88,74.58,13.48,29.1
